Unnamed: 0,date,description,amount,label
54,2025-08-12,  TARGET 00032268860 COMMONWEALTH AVE BOSTON 02215 MA USA 2%,55.29,"shopping
"
55,2025-08-13,  TST* TATTE BAKERY BER160 MASSACHUSETTS AVE BOSTON 02115 MA USA 2%,43.18,dining
56,2025-08-13,  SQ *SHAKE SHACK 484 Medford Street Somerville 02145 MA USA 2%,35.26,dining
57,2025-08-13,  BOS HUDSON NEWS ST1922LOGAN AIRPORT BOSTON 02128 MA USA 2%,6.98,"grocery
"
58,2025-08-14,  MITMUSEUM.MIT.EDU 314 Main Street CAMBRIDGE 02142 MA USA 2%,40.0,"entertainment
"
59,2025-08-14,  DELUCAS MARKET - NEWBU239 NEWBURY ST BOSTON 02116 MA USA 2%,18.19,"grocery
"
60,2025-08-14,  SQ *BLUE BOTTLE COFFEE163 Newbury Street Boston 02116 MA USA 2%,15.69,"dining
"
61,2025-08-14,  SP ALO-YOGA 6670 Flotilla Street COMMERCE 90040 CA USA 2%,185.63,"health
"
62,2025-08-14,  CVS/PHARMACY #01206 240 NEWBURY ST BOSTON 02116 MA USA 2%,4.33,"health
"
63,2025-08-14,  PI ALLEY GARAGE 275 Washington St BOSTON 02108 MA USA 2%,25.0,"shopping
"
64,2025-08-14,  SHELL OIL 57544921000 146 BOSTON ST SALEM 01970 MA USA 2%,23.0,"other
"
65,2025-08-14,  MCDONALDS F1474 133 MAIN ST PEABODY 01960 MA USA 2%,20.9,"dining
"
66,2025-08-14,  City of Cambridge 128 S Tryon St Ste 1000 Charlotte 28208 NC USA 1%,4.55,"utilites
"
67,2025-08-15,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,24.84,"subscription
"
68,2025-08-15,  MCDONALDS F35391 374 RUSSELL ST HADLEY 01035 MA USA 2%,18.26,"dining
"
69,2025-08-15,  USPS PO 2401360002 145 UNIVERSITY DR AMHERST 01002 MA USA 2%,22.86,"other
"
70,2025-08-15,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,17.73,"grocery
"
71,2025-08-16,  TST*CUSHMAN MARKET AND491 Pine St Amherst 01002 MA USA 2%,23.09,"grocery
"
72,2025-08-16,  DUNKIN #356908 142 RUSSELL STREET HADLEY 01035 MA USA 2%,7.53,"dining
"
73,2025-08-16,  EXXON GIBBS HADLEY 110 RUSSELL STREET HADLEY 01035 MA USA 2%,50.4,"other
"
74,,3% Daily Cash at Exxon Mobil 1%,0.5,"utilites
"
75,,August 2025 Road Trip 5% Daily Cash Offer 2%,1.01,"travel
"
76,2025-08-16,  SQ *ALIAS COFFEE 76 N Pearl St Albany 12207 NY USA 2%,9.0,"dining
"
77,2025-08-16,  WAL-MART #2152 141 WASHINGTON AVE EXTEN ALBANY 12205 NY USA 1%,20.63,"shopping
"
78,2025-08-16,  CHICK FIL A 3601712 168 MP WEST NY STATE PATTERSONVILL12137 NY USA 2%,30.76,dining
79,2025-08-16,  BUZZYS PIZZA 7617 NIAGARA FALLS BLVD. NIAGARA FALLS14304 NY USA 2%,46.17,"dining
"
80,2025-08-16,  TARGET 000101247414 NIAGARA FALLS BLV NIAGARA FALLS14304 NY USA 2%,32.35,"shopping
"
81,2025-08-17,  BEAR CLAW CAFE 310 4TH ST NIAGARA FALLS14303 NY USA 2%,7.8,"dining
"
82,2025-08-17,  Subway 28754 2608 Pine Ave Niagara Falls14301 NY USA 2%,34.41,dining
83,2025-08-17,  HORVATHS WOODLAWN KWI3326 LAKESHOSRE RD - RT 5 BUFFALO 14219 NY USA 1%,21.5,"dining
"
84,2025-08-17,  WYNDHAM 2 WASHINGTON BLVD DETROIT 48226-4421MI USA 1%,207.64,dining
85,2025-08-18,  The Henry Ford 20900 OAKWOOD BOULEVARD Dearborn 48124 MI USA 2%,108.0,"travel
"
86,2025-08-18,  HILTON GARDEN INN 55 E 11TH ST CHICAGO 60605 IL USA 2%,140.0,"travel
"
87,2025-08-19,  TST*INTELLIGENTSIA - M53 E Randolph St Chicago 60601 IL USA 2%,13.74,"subscription
"
88,2025-08-19,  ROSAS LOUNGE 3420 W ARMITAGE AVE 773-805-8669 60647 IL USA 1%,43.0,"dining
"
89,2025-08-20,  HOLIDAY INN COLUMBUS D175 EAST TOWN STREET COLUMBUS 43215 OH USA 2%,140.62,"travel
"
90,2025-08-20,"  Hotel at Booking.com Trust Center, 1209 Orange Street Wilmington, N19801 DE USA 2%",129.96,"travel
"
91,,Booking.com 3% Daily Cash 1%,1.3,"subscription
"
92,2025-08-21,  TST*ONE LINE COFFEE - 745 N High St Columbus 43215 OH USA 2%,9.25,"dining
"
93,2025-08-21,  SQ *DELANIES COFFEE S1737 E Carson St Pittsburgh 15203 PA USA 2%,10.5,dining
94,2025-08-21,  GOMOBILEPGH 1 232 BOULEVARD OF THE ALL PITTSBURGH 15222 PA USA 1%,1.65,"other
"
95,2025-08-21,  TST* PUTTSHACK - PITTS1729 SMALLMAN ST PITTSBURGH 15222 PA USA 2%,59.99,dining
96,2025-08-22,  Subway 32974 4418 Business 220 Bedford 15522 PA USA 2%,27.26,dining
97,2025-08-22,  SHELL OIL 57544268105 4418 BUSINESS 220 BEDFORD 15522 PA USA 1%,30.0,"other
"
98,2025-08-22,  STARBUCKS 75870 4201301495 VALLEY FORGE RD WAYNE 19087-1346PA USA 2%,11.13,dining
99,2025-08-22,  TST*THE WINDOW 1505 S St Philadelphia 19146 PA USA 2%,15.75,dining
100,2025-08-23,  SUNOCO 0368298601 QPSNJ TPK MILEPOST 58.7N HAMILTON TWP 08650 NJ USA 1%,30.0,"other
"
101,2025-08-23,  BRONX PARKING RUPPERT 30 E 161ST ST BRONX 10451 NY USA 2%,49.0,"other
"
102,2025-08-23,  WAL-MART #2902 121 WORCESTER RD FRAMINGHAM 01701 MA USA 1%,124.93,"shopping
"
103,2025-08-23,  GULF OIL 92038875 MM 117.6 MA TPKE EAST NATICK 01760 MA USA 1%,20.01,"other
"
104,2025-08-23,  FSP*HARVARD SQUARE HOT110 MOUNT AUBURN ST CAMBRIDGE 02138 MA USA 1%,323.5,dining
105,2025-08-24,  FSP*HARVARD SQUARE HOT110 MOUNT AUBURN ST CAMBRIDGE 02138 MA USA 1%,50.0,dining
106,2025-08-25,  IYZICO *gain.tv KUZGUNCUK MAH KUZGUNCUK GAZHANESI SK NO: 2 /1 ISTANBUL 34746 1%,3.67,"subscription
"
107,2025-08-26,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,14.94,"subscription
"
108,2025-08-28,  SQ *THE SPOKE 35 E. Pleasant Street Amherst 01002 MA USA 2%,12.25,"shopping
"
109,,Daily Cash from Apple Card,77.58,"other
"
110,,—,0.0,"9
"
