,date,description,amount
42,2025-07-19,  IKEA STOUGHTON 1 IKEA WAY STOUGHTON 02072 MA USA 2%,158.09
43,2025-07-19,  TST*FARO CAFE LLC 5 Arrow St Cambridge 02138 MA USA 2%,14.32
44,2025-07-21,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,74.33
45,2025-07-21,  SQ *MILL VALLEY MILK S102 Mill Valley Rd. Hadley 01035 MA USA 2%,30.34
46,2025-07-22,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 1%,18.03
47,2025-07-22,  THE HOME DEPOT #8452 350 RUSSELL STREET HADLEY 010350000 MA USA 2%,5.68
48,2025-07-23,  SQ *ONLY KEBAB LLC 373 Main Street Amherst 01002 MA USA 2%,13.96
49,2025-07-23,  SQ *AMHERST COFFEE + B28 Amity Street Amherst 01002 MA USA 2%,10.7
50,2025-07-24,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,7.99
51,2025-07-25,  CVS/PHARMACY #01095 165 UNIVERSITY DR AMHERST 01002 MA USA 2%,4.7
52,2025-07-25,  EXXON GIBBS HADLEY 110 RUSSELL STREET HADLEY 01035 MA USA 2%,31.25
53,,3% Daily Cash at Exxon Mobil 1%,0.31
54,2025-07-25,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,12.42
55,2025-07-25,  DOLLAR TREE 458 RUSSELL ST STE 8 STE 8 HADLEY 01035 MA USA 2%,2.66
56,2025-07-27,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,149.63
57,2025-07-27,  SQ *MILL VALLEY MILK S102 Mill Valley Rd. Hadley 01035 MA USA 2%,18.5
58,2025-07-27,  THE HOME DEPOT #8452 350 RUSSELL STREET HADLEY 010350000 MA USA 2%,14.83
59,2025-07-27,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,12.49
60,2025-07-28,  SQ *MAPLE VALLEY CREAM102 Mill Valley Rd HADLEY 01035 MA USA 2%,6.5
61,2025-07-30,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,18.17
62,2025-07-30,  STOP & SHOP 0095 440 RUSSELL ST. HADLEY 01035 MA USA 2%,29.06
63,,Daily Cash from Apple Card,32.11
64,,—,0.0
