Unnamed: 0,date,description,amount,label
37,2025-07-17,  AMHERST AUTO EXPRESS 118 SOUTH EAST STREET AMHERST 01002 MA USA 2%,35.0,utilities
38,2025-07-17,  SHELL OIL 10004579008 95 WEST ST CHICOPEE 01013 MA USA 1%,23.0,utilities
39,2025-07-17,  CHICK-FIL-A #03279 501 MEMORIAL DRIVE CHICOPEE 01020 MA USA 2%,14.07,dining
40,2025-07-19,  SHELL OIL 10005423008 144 THORNDIKE STREET PALMER 01069 MA USA 1%,20.07,utilities
41,2025-07-19,  IKEA STOUGHTON REST 1 IKEA WAY STOUGHTON 02072 MA USA 2%,35.59,shopping
42,2025-07-19,  IKEA STOUGHTON 1 IKEA WAY STOUGHTON 02072 MA USA 2%,158.09,shopping
43,2025-07-19,  TST*FARO CAFE LLC 5 Arrow St Cambridge 02138 MA USA 2%,14.32,dining
44,2025-07-21,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,74.33,grocery
45,2025-07-21,  SQ *MILL VALLEY MILK S102 Mill Valley Rd. Hadley 01035 MA USA 2%,30.34,grocery
46,2025-07-22,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 1%,18.03,grocery
47,2025-07-22,  THE HOME DEPOT #8452 350 RUSSELL STREET HADLEY 010350000 MA USA 2%,5.68,shopping
48,2025-07-23,  SQ *ONLY KEBAB LLC 373 Main Street Amherst 01002 MA USA 2%,13.96,dining
49,2025-07-23,  SQ *AMHERST COFFEE + B28 Amity Street Amherst 01002 MA USA 2%,10.7,dining
50,2025-07-24,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,7.99,grocery
51,2025-07-25,  CVS/PHARMACY #01095 165 UNIVERSITY DR AMHERST 01002 MA USA 2%,4.7,health
52,2025-07-25,  EXXON GIBBS HADLEY 110 RUSSELL STREET HADLEY 01035 MA USA 2%,31.25,utilities
53,,3% Daily Cash at Exxon Mobil 1%,0.31,other
54,2025-07-25,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,12.42,grocery
55,2025-07-25,  DOLLAR TREE 458 RUSSELL ST STE 8 STE 8 HADLEY 01035 MA USA 2%,2.66,shopping
56,2025-07-27,  WHOLEFDS HAD 10012 RT 9 RUSSELL ST HADLEY 01035 MA USA 2%,149.63,grocery
57,2025-07-27,  SQ *MILL VALLEY MILK S102 Mill Valley Rd. Hadley 01035 MA USA 2%,18.5,grocery
58,2025-07-27,  THE HOME DEPOT #8452 350 RUSSELL STREET HADLEY 010350000 MA USA 2%,14.83,shopping
59,2025-07-27,  TRADER JOE S #512 375 RUSSELL ST HADLEY 01035 MA USA 2%,12.49,grocery
60,2025-07-28,  SQ *MAPLE VALLEY CREAM102 Mill Valley Rd HADLEY 01035 MA USA 2%,6.5,grocery
61,2025-07-30,  SQ *SHARE 178 North Pleasant Amherst 01002 MA USA 2%,18.17,dining
62,2025-07-30,  STOP & SHOP 0095 440 RUSSELL ST. HADLEY 01035 MA USA 2%,29.06,grocery
63,,Daily Cash from Apple Card,32.11,other
64,,—,0.0,other
